Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPropertyValue(response, ""data[1].email"", ""lindsay.ferguson@reqres.in"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[1].first_name"", ""Lindsay"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[1].last_name"", ""Ferguson"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[1].avatar"", ""https://reqres.in/img/faces/8-image.jpg"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[2].id"", 9)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.015s,PASSED
"verifyElementPropertyValue(response, ""data[2].email"", ""tobias.funke@reqres.in"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.018s,PASSED
"verifyElementPropertyValue(response, ""data[2].first_name"", ""Tobias"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.014s,PASSED
"verifyElementPropertyValue(response, ""data[2].last_name"", ""Funke"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[2].avatar"", ""https://reqres.in/img/faces/9-image.jpg"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.014s,PASSED
"verifyElementPropertyValue(response, ""data[3].id"", 10)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[3].email"", ""byron.fields@reqres.in"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[3].first_name"", ""Byron"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[3].last_name"", ""Fields"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[3].avatar"", ""https://reqres.in/img/faces/10-image.jpg"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.022s,PASSED
"verifyElementPropertyValue(response, ""data[4].id"", 11)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[4].email"", ""george.edwards@reqres.in"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[4].first_name"", ""George"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[4].last_name"", ""Edwards"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[4].avatar"", ""https://reqres.in/img/faces/11-image.jpg"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[5].id"", 12)",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[5].email"", ""rachel.howell@reqres.in"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[5].first_name"", ""Rachel"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[5].last_name"", ""Howell"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[5].avatar"", ""https://reqres.in/img/faces/12-image.jpg"")",,,,19-06-2025 20:21:13,19-06-2025 20:21:13,0.011s,PASSED
,,,,,,,
Test Cases/Delete Users,,,,19-06-2025 20:21:13,19-06-2025 20:21:14,0.677s,PASSED
"response = sendRequest(findTestObject(""DELETE_Users""))",,,,19-06-2025 20:21:14,19-06-2025 20:21:14,0.647s,PASSED
"verifyResponseStatusCode(response, 204)",,,,19-06-2025 20:21:14,19-06-2025 20:21:14,0.002s,PASSED
,,,,,,,
Test Cases/Login Failed,,,,19-06-2025 20:21:14,19-06-2025 20:21:15,0.814s,PASSED
"response = sendRequest(findTestObject(""POST_Login_Failed""))",,,,19-06-2025 20:21:14,19-06-2025 20:21:15,0.760s,PASSED
"verifyResponseStatusCode(response, 400)",,,,19-06-2025 20:21:15,19-06-2025 20:21:15,0.002s,PASSED
"verifyElementPropertyValue(response, ""error"", ""Missing password"")",,,,19-06-2025 20:21:15,19-06-2025 20:21:15,0.017s,PASSED
,,,,,,,
Test Cases/Register Failed,,,,19-06-2025 20:21:15,19-06-2025 20:21:16,0.723s,PASSED
"response = sendRequest(findTestObject(""POST_Register_Failed""))",,,,19-06-2025 20:21:15,19-06-2025 20:21:16,0.678s,PASSED
"verifyResponseStatusCode(response, 400)",,,,19-06-2025 20:21:16,19-06-2025 20:21:16,0.003s,PASSED
"verifyElementPropertyValue(response, ""error"", ""Missing password"")",,,,19-06-2025 20:21:16,19-06-2025 20:21:16,0.017s,PASSED
,,,,,,,
Test Cases/Login Success,,,,19-06-2025 20:21:16,19-06-2025 20:21:16,0.743s,PASSED
"response = sendRequest(findTestObject(""POST_Login_Success""))",,,,19-06-2025 20:21:16,19-06-2025 20:21:16,0.700s,PASSED
"verifyResponseStatusCode(response, 200)",,,,19-06-2025 20:21:16,19-06-2025 20:21:16,0.004s,PASSED
"verifyElementPropertyValue(response, ""token"", ""QpwL5tke4Pnpja7X4"")",,,,19-06-2025 20:21:16,19-06-2025 20:21:16,0.015s,PASSED
