Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPropertyValue(response, ""data[3].id"", 10)",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[3].email"", ""byron.fields@reqres.in"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[3].first_name"", ""Byron"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[3].last_name"", ""Fields"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[3].avatar"", ""https://reqres.in/img/faces/10-image.jpg"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[4].id"", 11)",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
"verifyElementPropertyValue(response, ""data[4].email"", ""george.edwards@reqres.in"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[4].first_name"", ""George"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.013s,PASSED
"verifyElementPropertyValue(response, ""data[4].last_name"", ""Edwards"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[4].avatar"", ""https://reqres.in/img/faces/11-image.jpg"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[5].id"", 12)",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.011s,PASSED
"verifyElementPropertyValue(response, ""data[5].email"", ""rachel.howell@reqres.in"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.010s,PASSED
"verifyElementPropertyValue(response, ""data[5].first_name"", ""Rachel"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.010s,PASSED
"verifyElementPropertyValue(response, ""data[5].last_name"", ""Howell"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.019s,PASSED
"verifyElementPropertyValue(response, ""data[5].avatar"", ""https://reqres.in/img/faces/12-image.jpg"")",,,,19-06-2025 20:26:03,19-06-2025 20:26:03,0.012s,PASSED
